ONS ID,ONS region ID,Constituency name,County name,Region name,Country name,Constituency type,Declaration time,mpFirstName,mpSurname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner,ratio800,ratio1000,ratio1200,ratio1500,ratio2000,overlap_800m,overlap_1000m,overlap_1200m,overlap_1500m,overlap_2000m
W07000081,W92000004,Aberafan Maesteg,,Wales,Wales,County,,Stephen,Kinnock,Male,Lab hold,Lab,RUK,72580,35755,79,10354,2903,17838,916,7484,1094,0,4719,0,0,0,0,0,801,0,0.05179763549279325,0.07682146801727878,0.10595898984795521,0.15736064244535455,0.24651486827203659,12519370.607379623,18567573.97439668,25610046.683978297,38033709.12679683,59582082.59441471
S14000060,S92000003,Aberdeen North,,Scotland,Scotland,Burgh,,Kirsty,Blackman,Female,SNP hold,SNP,Lab,75925,42095,115,1760,5881,12773,2583,3781,1275,14533,0,0,0,0,0,0,1269,0,0.02020618670042201,0.032449846433244826,0.04736509554607207,0.07121120899342441,0.12006618763074214,2007391.0339494408,3223741.903848263,4705502.801246407,7074503.693817421,11928019.47758947
S14000061,S92000003,Aberdeen South,,Scotland,Scotland,Burgh,,Stephen,Flynn,Male,SNP hold,SNP,Lab,77328,46345,178,3758,11300,11455,2921,3199,1609,15213,0,0,0,0,0,0,648,0,0.021497369423119528,0.032336642828190286,0.04607255802255397,0.07136912907051,0.12142240913847807,1853661.2921366983,2788303.1615859866,3972714.7892003525,6153971.186318055,10469933.106137265
S14000062,S92000003,Aberdeenshire North and Moray East,,Scotland,Scotland,County,,Seamus,Logan,Male,SNP gain from Con,SNP,Con,70058,38188,170,942,12513,3876,2782,5562,0,13455,0,0,0,0,0,0,0,0,0.002292774764693379,0.0033485073056456053,0.004590924577664357,0.006806360327852022,0.011438765694860967,3052105.9166121664,4457480.567545749,6111367.013446464,9060520.443232296,15227106.03485484
S14000063,S92000003,Airdrie and Shotts,,Scotland,Scotland,County,,Kenneth,Stevenson,Male,Lab gain from SNP,Lab,SNP,70199,36666,95,7547,1696,18871,725,2971,0,11324,0,0,0,0,0,0,1079,0,0.05495506142975329,0.084180560457905,0.11686939687722916,0.17233743093354773,0.27660876241703497,13093825.725479877,20057216.92292136,27845797.55785473,41061846.314288236,65905975.44611977
E14001063,E12000008,Aldershot,,South East,England,Borough,,Alex,Baker,Female,Lab gain from Con,Lab,Con,78553,48544,179,5683,14081,19764,4052,8210,2155,0,0,0,0,0,0,0,282,0,0.1394822643159354,0.20656770175775777,0.283183563114176,0.41333878778510325,0.6282117896335258,7963831.219722727,11794118.200709913,16168550.97600637,23599848.759476148,35868163.50750756
E14001064,E12000005,Aldridge-Brownhills,,West Midlands,England,Borough,,Wendy,Morton,Female,Con hold,Con,Lab,70268,40912,156,4294,15901,11607,1755,9903,1746,0,0,0,0,0,0,0,0,0,0.006004509511761245,0.008607635046040769,0.011708092154365746,0.023129186938574953,0.048036940778806964,319849.7502354892,458513.7077727484,623669.6509469829,1232051.4524896129,2558844.0621308372
S14000064,S92000003,Alloa and Grangemouth,,Scotland,Scotland,County,,Brian,Leishman,Male,Lab gain from SNP,Lab,SNP,70680,41201,74,6122,3127,18039,1151,3804,1421,11917,0,0,0,0,0,0,1742,0,0.026913960064310172,0.042006489512641715,0.05889829194948922,0.08503020945728972,0.13651827781916803,4531861.505687497,7073191.472251886,9917488.968506996,14317667.565057855,22987398.606266607
E14001065,E12000002,Altrincham and Sale West,,North West,England,Borough,,Connor,Rand,Male,Lab gain from Con,Lab,Con,74025,51452,184,4174,16624,20798,4727,4961,3699,0,0,0,0,0,0,0,643,0,0.0916608507610387,0.1294438923456853,0.17684441578352586,0.2562680501728963,0.41420591682393315,4667924.9214776205,6592065.925601533,9005987.275987139,13050719.124341935,21093870.564288594
W07000082,W92000004,Alyn and Deeside,,Wales,Wales,County,,Mark,Tami,Male,Lab hold,Lab,RUK,75790,43392,135,8794,7892,18395,2065,9601,1926,0,1938,0,0,0,0,0,1575,0,0.0787843940036618,0.11443641289590226,0.15592943374495333,0.22469504922941627,0.341097675300509,14600841.88934421,21208108.43577879,28897867.868339747,41641963.85091997,63214463.8398072
